Date,Country,Segment,Driver,SHAP_Value_monthly_USD
202605,US,Defense,IPB52300S_diff_lag_6,-12407785.9
202605,US,Defense,fdefx_lag_1,3495572408.04
202605,US,Defense,fdefx_lag_2,2265008131.66
202605,US,Defense,fdefx_lag_3,4298114140.83
202605,US,Defense,fdefx_lag_4,27072404.82
202605,US,Defense,fdefx_lag_5,64681346.22
202605,US,Defense,fdefx_lag_6,1173424879.71
202605,US,Defense,fdefx_rolling_3m_mean,1473262786.87
202605,US,Defense,fdefx_rolling_6m_mean,410136381.79
202605,US,Defense,fdefx_rolling_12m_mean,199863771.6
202605,US,Defense,month,-41268932.32
202605,US,Defense,quarter,-28578708.57
202605,US,Defense,is_q4,17134.47
202605,US,Defense,base_value,61127024332.68
202605,US,Defense,prediction,74943028767.9
202606,US,Defense,ADEFNO,7999929.91
202606,US,Defense,ADEFNO_diff,-7011113.07
202606,US,Defense,IPB52300S,465812961.26
202606,US,Defense,IPB52300S_diff,-5621977.15
202606,US,Defense,FDEFX_diff,-25267901.52
202606,US,Defense,ADEFNO_lag_1,12231530.0
202606,US,Defense,ADEFNO_lag_3,28709441.42
202606,US,Defense,ADEFNO_lag_6,-97676008.94
202606,US,Defense,ADEFNO_lag_9,13168377.18
202606,US,Defense,ADEFNO_lag_12,-91451.76
202606,US,Defense,ADEFNO_lag_18,4163578.15
202606,US,Defense,ADEFNO_lag_24,-1243960.11
202606,US,Defense,ADEFNO_diff_lag_1,-9300579.01
202606,US,Defense,ADEFNO_diff_lag_3,-2804371.22
202606,US,Defense,IPB52300S_diff_lag_1,-6515361.99
202606,US,Defense,IPB52300S_diff_lag_2,15351422.13
202606,US,Defense,IPB52300S_diff_lag_3,639452.48
202606,US,Defense,IPB52300S_diff_lag_4,2809981.82
202606,US,Defense,IPB52300S_diff_lag_5,6726170.58
202606,US,Defense,IPB52300S_diff_lag_6,9093743.44
202606,US,Defense,fdefx_lag_1,3463130315.14
202606,US,Defense,fdefx_lag_2,2264651139.58
202606,US,Defense,fdefx_lag_3,4299634297.69
202606,US,Defense,fdefx_lag_4,27082207.3
202606,US,Defense,fdefx_lag_5,66116919.12
202606,US,Defense,fdefx_lag_6,1166419506.07
202606,US,Defense,fdefx_rolling_3m_mean,1440306822.46
202606,US,Defense,fdefx_rolling_6m_mean,410136381.79
202606,US,Defense,fdefx_rolling_12m_mean,198658406.73
202606,US,Defense,month,-31618778.9
202606,US,Defense,quarter,-28578708.57
202606,US,Defense,is_q4,17134.47
202606,US,Defense,base_value,61127024332.68
202606,US,Defense,prediction,74814117431.64
202607,US,Defense,ADEFNO,8024671.43
202607,US,Defense,ADEFNO_diff,-7011113.07
202607,US,Defense,IPB52300S,465784192.09
202607,US,Defense,IPB52300S_diff,-5453238.88
202607,US,Defense,FDEFX_diff,-25322986.15
202607,US,Defense,ADEFNO_lag_1,12231530.0
