date,ADEFNO,ADEFNO_diff,IPB52300S,IPB52300S_diff,FDEFX,FDEFX_diff
2012-02,9063,569.0,114.5249,1.3335000000000008,824.076,0.0
2012-03,9923,860.0,114.5104,-0.014499999999998181,824.076,0.0
2012-04,7753,-2170.0,113.1165,-1.3939000000000021,816.01,-8.066000000000031
2012-05,8445,692.0,111.8492,-1.2673000000000059,816.01,0.0
2012-06,11744,3299.0,110.8786,-0.9705999999999904,816.01,0.0
2012-07,11721,-23.0,113.3223,2.4436999999999927,820.214,4.204000000000065
2012-08,7202,-4519.0,113.138,-0.18429999999999325,820.214,0.0
2012-09,9080,1878.0,112.5577,-0.5803000000000083,820.214,0.0
2012-10,8086,-994.0,113.2662,0.7085000000000008,796.401,-23.813000000000102
2012-11,7592,-494.0,113.3287,0.0625,796.401,0.0
2012-12,19953,12361.0,113.0027,-0.3259999999999934,796.401,0.0
2013-01,6157,-13796.0,112.1947,-0.8080000000000069,774.681,-21.719999999999914
2013-02,9043,2886.0,111.8817,-0.3130000000000024,774.681,0.0
2013-03,5315,-3728.0,110.9732,-0.9084999999999894,774.681,0.0
2013-04,7105,1790.0,110.582,-0.391200000000012,770.584,-4.097000000000094
2013-05,9059,1954.0,109.3376,-1.2443999999999988,770.584,0.0
2013-06,10878,1819.0,109.5473,0.2097000000000122,770.584,0.0
2013-07,8815,-2063.0,108.4281,-1.1192000000000064,757.661,-12.923000000000002
2013-08,9112,297.0,108.7683,0.34019999999999584,757.661,0.0
2013-09,9869,757.0,108.1396,-0.6286999999999949,757.661,0.0
2013-10,8251,-1618.0,109.1164,0.9767999999999972,754.351,-3.3099999999999454
2013-11,7632,-619.0,107.1068,-2.009599999999992,754.351,0.0
2013-12,7310,-322.0,106.089,-1.0178000000000083,754.351,0.0
2014-01,7028,-282.0,104.85,-1.2390000000000043,744.986,-9.365000000000009
2014-02,9277,2249.0,105.1415,0.2914999999999992,744.986,0.0
2014-03,9730,453.0,106.2195,1.078000000000003,744.986,0.0
2014-04,16666,6936.0,105.8774,-0.34210000000000207,742.42,-2.566000000000031
2014-05,9008,-7658.0,105.8332,-0.04419999999998936,742.42,0.0
2014-06,9883,875.0,105.3584,-0.4748000000000019,742.42,0.0
2014-07,7911,-1972.0,106.378,1.019599999999997,755.041,12.621000000000095
2014-08,8757,846.0,104.985,-1.3930000000000007,755.041,0.0
2014-09,7414,-1343.0,105.4701,0.48510000000000275,755.041,0.0
2014-10,9752,2338.0,105.7277,0.2575999999999965,733.767,-21.274
2014-11,6804,-2948.0,105.1307,-0.5969999999999942,733.767,0.0
2014-12,7542,738.0,105.0931,-0.037599999999997635,733.767,0.0
2015-01,7435,-107.0,103.2796,-1.8135000000000048,730.203,-3.564000000000078
2015-02,8424,989.0,105.0336,1.7540000000000049,730.203,0.0
2015-03,8733,309.0,104.1245,-0.9091000000000093,730.203,0.0
2015-04,7495,-1238.0,103.3802,-0.7442999999999955,733.548,3.3450000000000273
2015-05,8511,1016.0,102.5954,-0.7848000000000042,733.548,0.0
2015-06,9940,1429.0,102.2626,-0.33279999999999177,733.548,0.0
2015-07,11048,1108.0,101.966,-0.2966000000000122,726.729,-6.81899999999996
2015-08,8147,-2901.0,102.1678,0.20180000000000575,726.729,0.0
2015-09,4723,-3424.0,101.1287,-1.0391000000000048,726.729,0.0
2015-10,9087,4364.0,100.5533,-0.5754000000000019,731.007,4.277999999999906
2015-11,12161,3074.0,99.8363,-0.7169999999999987,731.007,0.0
2015-12,9414,-2747.0,100.7123,0.8760000000000048,731.007,0.0
2016-01,10082,668.0,98.9906,-1.7216999999999985,726.546,-4.460999999999899
2016-02,7013,-3069.0,98.0192,-0.9714000000000027,726.546,0.0
2016-03,14438,7425.0,97.6555,-0.36369999999999436,726.546,0.0
2016-04,12828,-1610.0,97.3887,-0.2668000000000035,723.171,-3.375
2016-05,8658,-4170.0,98.648,1.259299999999996,723.171,0.0
2016-06,6196,-2462.0,97.6802,-0.9677999999999969,723.171,0.0
2016-07,8050,1854.0,97.264,-0.41620000000000346,733.097,9.92599999999993
2016-08,11189,3139.0,97.7511,0.4870999999999981,733.097,0.0
2016-09,11157,-32.0,97.6289,-0.12219999999999231,733.097,0.0
2016-10,12129,972.0,98.0608,0.43189999999999884,734.923,1.8260000000000218
2016-11,13108,979.0,98.6605,0.5996999999999986,734.923,0.0
2016-12,14154,1046.0,98.7607,0.10020000000000095,734.923,0.0
2017-01,9824,-4330.0,98.9255,0.1647999999999996,735.242,0.31899999999996
2017-02,10091,267.0,98.1313,-0.7942000000000036,735.242,0.0
2017-03,9521,-570.0,98.2211,0.08980000000001098,735.242,0.0
2017-04,10913,1392.0,99.5426,1.3214999999999861,747.5,12.258000000000038
2017-05,8969,-1944.0,100.1737,0.6311000000000035,747.5,0.0
2017-06,10027,1058.0,100.083,-0.09069999999999823,747.5,0.0
2017-07,12575,2548.0,99.9935,-0.08950000000000102,747.231,-0.26900000000000546
2017-08,10765,-1810.0,101.3892,1.395700000000005,747.231,0.0
2017-09,10749,-16.0,101.2831,-0.10609999999999786,747.231,0.0
2017-10,10148,-601.0,100.7824,-0.500700000000009,763.2,15.969000000000051
2017-11,7118,-3030.0,101.175,0.3926000000000016,763.2,0.0
2017-12,14113,6995.0,100.2997,-0.8752999999999957,763.2,0.0
2018-01,8586,-5527.0,100.283,-0.01670000000000016,773.144,9.94399999999996
2018-02,9336,750.0,100.202,-0.08100000000000307,773.144,0.0
2018-03,10342,1006.0,100.2197,0.017700000000004934,773.144,0.0
2018-04,10819,477.0,102.0482,1.8284999999999911,785.757,12.612999999999943
2018-05,11889,1070.0,101.9118,-0.13639999999999475,785.757,0.0
2018-06,13231,1342.0,103.3341,1.422300000000007,785.757,0.0
2018-07,9847,-3384.0,103.4493,0.11519999999998731,802.455,16.698000000000093
2018-08,14118,4271.0,105.4633,2.01400000000001,802.455,0.0
2018-09,14489,371.0,106.7367,1.2733999999999952,802.455,0.0
2018-10,10954,-3535.0,108.0462,1.3094999999999999,818.904,16.448999999999955
2018-11,11920,966.0,108.3638,0.31759999999999877,818.904,0.0
2018-12,13671,1751.0,111.5026,3.1388000000000034,818.904,0.0
2019-01,10176,-3495.0,112.4422,0.9395999999999987,838.831,19.92700000000002
2019-02,9364,-812.0,112.327,-0.11520000000000152,838.831,0.0
2019-03,13415,4051.0,113.3165,0.9895000000000067,838.831,0.0
2019-04,11304,-2111.0,114.3486,1.0320999999999998,840.28,1.4489999999999554
2019-05,11165,-139.0,113.9313,-0.41730000000001155,840.28,0.0
2019-06,8619,-2546.0,115.7448,1.8135000000000048,840.28,0.0
2019-07,8864,245.0,115.08,-0.6647999999999996,855.028,14.748000000000047
2019-08,12485,3621.0,115.2451,0.16509999999999536,855.028,0.0
2019-09,13035,550.0,115.2785,0.03340000000000032,855.028,0.0
2019-10,13919,884.0,116.3612,1.0827000000000027,863.886,8.857999999999947
2019-11,7653,-6266.0,116.3754,0.014200000000002433,863.886,0.0
2019-12,17465,9812.0,117.3236,0.9481999999999999,863.886,0.0
2020-01,12704,-4761.0,113.0986,-4.224999999999994,872.027,8.141000000000076
2020-02,17869,5165.0,114.4561,1.3575000000000017,872.027,0.0
2020-03,18068,199.0,112.7994,-1.6567000000000007,872.027,0.0
2020-04,13301,-4767.0,99.3349,-13.464500000000001,872.625,0.5979999999999563
2020-05,14456,1155.0,105.8368,6.501899999999992,872.625,0.0
2020-06,13839,-617.0,106.0128,0.17600000000000193,872.625,0.0
2020-07,14886,1047.0,105.6183,-0.39449999999999363,879.913,7.288000000000011
2020-08,15140,254.0,106.9941,1.3757999999999981,879.913,0.0
2020-09,10888,-4252.0,106.6675,-0.3265999999999991,879.913,0.0
2020-10,14337,3449.0,108.0559,1.38839999999999,914.888,34.97500000000002
2020-11,13851,-486.0,108.7395,0.6836000000000126,914.888,0.0
2020-12,13331,-520.0,106.9925,-1.7469999999999999,914.888,0.0
2021-01,14764,1433.0,110.1416,3.14909999999999,906.146,-8.742000000000075
2021-02,13974,-790.0,109.0959,-1.0456999999999965,906.146,0.0
2021-03,15420,1446.0,111.5581,2.4621999999999957,906.146,0.0
2021-04,12498,-2922.0,110.3263,-1.2317999999999927,907.945,1.7990000000000919
2021-05,11537,-961.0,108.7078,-1.6184999999999974,907.945,0.0
2021-06,12426,889.0,110.018,1.3101999999999947,907.945,0.0
2021-07,12648,222.0,110.9071,0.8890999999999991,908.687,0.7419999999999618
2021-08,10662,-1986.0,109.0786,-1.8285000000000053,908.687,0.0
2021-09,11772,1110.0,106.547,-2.5315999999999974,908.687,0.0
2021-10,11209,-563.0,106.5692,0.022199999999998,913.601,4.913999999999987
2021-11,10687,-522.0,105.3374,-1.2317999999999927,913.601,0.0
2021-12,10719,32.0,103.0028,-2.334600000000009,913.601,0.0
2022-01,10369,-350.0,100.2031,-2.799699999999987,905.104,-8.496999999999957
2022-02,11789,1420.0,101.8391,1.6359999999999957,905.104,0.0
2022-03,11347,-442.0,100.3969,-1.4421999999999997,905.104,0.0
2022-04,10076,-1271.0,101.7524,1.3554999999999922,929.002,23.89799999999991
2022-05,10687,611.0,99.2145,-2.5378999999999934,929.002,0.0
2022-06,10545,-142.0,97.7505,-1.4639999999999986,929.002,0.0
2022-07,11261,716.0,98.3546,0.6041000000000025,928.551,-0.45099999999990814
2022-08,13272,2011.0,99.2956,0.9409999999999883,928.551,0.0
2022-09,9523,-3749.0,99.6988,0.40320000000001244,928.551,0.0
2022-10,9719,196.0,101.6407,1.9418999999999897,955.728,27.176999999999907
2022-11,11086,1367.0,102.8896,1.2489000000000061,955.728,0.0
2022-12,13786,2700.0,103.1889,0.29930000000000234,955.728,0.0
2023-01,13435,-351.0,104.3802,1.1912999999999982,975.017,19.2890000000001
2023-02,12381,-1054.0,104.0332,-0.3470000000000084,975.017,0.0
2023-03,12957,576.0,104.454,0.42079999999999984,975.017,0.0
2023-04,17642,4685.0,103.9657,-0.4882999999999953,988.014,12.996999999999957
2023-05,14695,-2947.0,106.2475,2.281800000000004,988.014,0.0
2023-06,12005,-2690.0,107.1997,0.9522000000000048,988.014,0.0
2023-07,11459,-546.0,108.1728,0.9730999999999881,1018.384,30.370000000000005
2023-08,11874,415.0,109.0823,0.9095000000000084,1018.384,0.0
2023-09,9976,-1898.0,108.4075,-0.6748000000000047,1018.384,0.0
2023-10,13694,3718.0,108.8393,0.4317999999999955,1034.468,16.08400000000006
2023-11,12432,-1262.0,109.0181,0.17880000000000962,1034.468,0.0
2023-12,10779,-1653.0,108.0292,-0.988900000000001,1034.468,0.0
2024-01,12915,2136.0,107.2648,-0.7644000000000091,1039.649,5.180999999999813
2024-02,11864,-1051.0,107.2259,-0.03889999999999816,1039.649,0.0
2024-03,11611,-253.0,106.8564,-0.36950000000000216,1039.649,0.0
2024-04,12763,1152.0,108.0988,1.2424000000000035,1064.344,24.695000000000164
2024-05,13156,393.0,107.8451,-0.25369999999999493,1064.344,0.0
2024-06,13960,804.0,108.4625,0.6174000000000035,1064.344,0.0
2024-07,14431,471.0,106.7346,-1.7279000000000053,1104.161,39.81700000000001
2024-08,14770,339.0,108.1309,1.3962999999999965,1104.161,0.0
