date,Product,net_value_usd,de_orders_index_lag_1,de_orders_index_lag_2,de_orders_index_lag_3,de_orders_index_lag_4,de_orders_index_lag_5,de_orders_index_lag_6,de_production_index_diff_lag_1,de_production_index_diff_lag_2,de_production_index_diff_lag_3,de_production_index_diff_lag_4,de_production_index_diff_lag_5,de_production_index_diff_lag_6,us_durable_goods_orders_musd_diff_lag_1,us_durable_goods_orders_musd_diff_lag_2,us_durable_goods_orders_musd_diff_lag_3,us_durable_goods_orders_musd_diff_lag_4,us_durable_goods_orders_musd_diff_lag_5,us_durable_goods_orders_musd_diff_lag_6,us_production_index_diff_lag_1,us_production_index_diff_lag_2,us_production_index_diff_lag_3,us_production_index_diff_lag_4,us_production_index_diff_lag_5,us_production_index_diff_lag_6,month,quarter,year,is_q4,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_rolling_3m_mean,revenue_rolling_3m_std,revenue_rolling_6m_mean,revenue_rolling_6m_std
2024-02-01,Accessories,18666.36,81.2,91.7,83.1,84.0,82.4,86.4,0.7999999999999972,-1.7000000000000028,-0.29999999999999716,-0.5,-0.7000000000000028,-0.29999999999999716,-23710.0,5754.0,12594.0,-12253.0,9101.0,-4150.0,-1.3807999999999936,-0.26080000000000325,0.394999999999996,-0.5521999999999991,0.18180000000000973,-0.06740000000000634,2,1,2024,0,1177.75,3646.06,-753.89,1356.64,2205.423139603812,1186.51,2253.614819182715
2024-03-01,Accessories,2450.64,81.8,81.2,91.7,83.1,84.0,82.4,1.5,0.7999999999999972,-1.7000000000000028,-0.29999999999999716,-0.5,-0.7000000000000028,2009.0,-23710.0,5754.0,12594.0,-12253.0,9101.0,1.0626999999999924,-1.3807999999999936,-0.26080000000000325,0.394999999999996,-0.5521999999999991,0.18180000000000973,3,1,2024,0,18666.36,1177.75,3646.06,7830.056666666667,9465.3177977833,4641.474999999999,7053.456540983998
2024-04-01,Accessories,14613.81,79.5,81.8,81.2,91.7,83.1,84.0,-1.3999999999999915,1.5,0.7999999999999972,-1.7000000000000028,-0.29999999999999716,-0.5,4800.0,2009.0,-23710.0,5754.0,12594.0,-12253.0,0.17249999999999943,1.0626999999999924,-1.3807999999999936,-0.26080000000000325,0.394999999999996,-0.5521999999999991,4,2,2024,0,2450.64,18666.36,1177.75,7431.583333333333,9750.395750964844,4756.3966666666665,7002.574660864861
2024-05-01,Accessories,6769.32,79.2,79.5,81.8,81.2,91.7,83.1,0.0,-1.3999999999999915,1.5,0.7999999999999972,-1.7000000000000028,-0.29999999999999716,-451.0,4800.0,2009.0,-23710.0,5754.0,12594.0,-0.21410000000000196,0.17249999999999943,1.0626999999999924,-1.3807999999999936,-0.26080000000000325,0.394999999999996,5,2,2024,0,14613.81,2450.64,18666.36,11910.269999999999,8439.149256785307,6633.454999999999,7990.430802795926
2024-06-01,Accessories,-8790.1,79.5,79.2,79.5,81.8,81.2,91.7,-2.1000000000000085,0.0,-1.3999999999999915,1.5,0.7999999999999972,-1.7000000000000028,-143.0,-451.0,4800.0,2009.0,-23710.0,5754.0,0.6196000000000055,-0.21410000000000196,0.17249999999999943,1.0626999999999924,-1.3807999999999936,-0.26080000000000325,6,2,2024,0,6769.32,14613.81,2450.64,7944.589999999999,6166.16743138718,7887.323333333333,7144.891887726966
2024-07-01,Accessories,-936.19,87.5,79.5,79.2,79.5,81.8,81.2,1.5,-2.1000000000000085,0.0,-1.3999999999999915,1.5,0.7999999999999972,-5701.0,-143.0,-451.0,4800.0,2009.0,-23710.0,0.03100000000000591,0.6196000000000055,-0.21410000000000196,0.17249999999999943,1.0626999999999924,-1.3807999999999936,7,3,2024,0,-8790.1,6769.32,14613.81,4197.676666666666,11912.0007932099,5814.63,9895.6474157965
2024-08-01,Accessories,-3412.5,88.7,87.5,79.5,79.2,79.5,81.8,-2.0999999999999943,1.5,-2.1000000000000085,0.0,-1.3999999999999915,1.5,12106.0,-5701.0,-143.0,-451.0,4800.0,2009.0,-0.9183000000000021,0.03100000000000591,0.6196000000000055,-0.21410000000000196,0.17249999999999943,1.0626999999999924,8,3,2024,0,-936.19,-8790.1,6769.32,-985.6566666666669,7779.827947804069,5462.306666666666,10128.645645292692
2024-09-01,Accessories,2831.06,79.6,88.7,87.5,79.5,79.2,79.5,2.0,-2.0999999999999943,1.5,-2.1000000000000085,0.0,-1.3999999999999915,-3308.0,12106.0,-5701.0,-143.0,-451.0,4800.0,0.4551999999999907,-0.9183000000000021,0.03100000000000591,0.6196000000000055,-0.21410000000000196,0.17249999999999943,9,3,2024,0,-3412.5,-936.19,-8790.1,-4379.596666666667,4015.2749026726983,1782.4966666666662,8198.98130457843
2024-10-01,Accessories,-279.45,84.0,79.6,88.7,87.5,79.5,79.2,-1.6000000000000085,2.0,-2.0999999999999943,1.5,-2.1000000000000085,0.0,2543.0,-3308.0,12106.0,-5701.0,-143.0,-451.0,-0.6224999999999881,0.4551999999999907,-0.9183000000000021,0.03100000000000591,0.6196000000000055,-0.21410000000000196,10,4,2024,1,2831.06,-3412.5,-936.19,-505.87666666666684,3143.944583168293,1845.8999999999996,8206.648790075029
2024-11-01,Accessories,314.76,78.8,84.0,79.6,88.7,87.5,79.5,-0.3999999999999915,-1.6000000000000085,2.0,-2.0999999999999943,1.5,-2.1000000000000085,797.0,2543.0,-3308.0,12106.0,-5701.0,-143.0,-0.3389000000000095,-0.6224999999999881,0.4551999999999907,-0.9183000000000021,0.03100000000000591,0.6196000000000055,11,4,2024,1,-279.45,2831.06,-3412.5,-286.96333333333354,3121.7867810011066,-636.3100000000001,5315.539667202188
